Feature,importance,Classifier group,,,
tree,1.14,Main Classifier + Modulator relevance,,,
 seed, 0.91,Main Classifier + Modulator relevance,,,
 range, 0.73,Main Classifier + Modulator relevance,,,
 fir, 0.72,Main Classifier + Modulator relevance,,,
 carex, 0.72,Main Classifier + Modulator relevance,,,
 fish, 0.70,Main Classifier + Modulator relevance,,,
 population, 0.70,Main Classifier + Modulator relevance,,,
 wood, 0.68,Main Classifier + Modulator relevance,,,
 populations, 0.67,Main Classifier + Modulator relevance,,,
 arctic, 0.66,Main Classifier + Modulator relevance,,,
 root, 0.65,Main Classifier + Modulator relevance,,,
 resistance, 0.65,Main Classifier + Modulator relevance,,,
 site, 0.64,Main Classifier + Modulator relevance,,,
 zooplankton, 0.64,Main Classifier + Modulator relevance,,,
 urban, 0.64,Main Classifier + Modulator relevance,,,
 genetic, 0.62,Main Classifier + Modulator relevance,,,
 floral, 0.62,Main Classifier + Modulator relevance,,,
 changes, 0.61,Main Classifier + Modulator relevance,,,
 seasonal, 0.58,Main Classifier + Modulator relevance,,,
 method, 0.58,Main Classifier + Modulator relevance,,,
